variables,runtime
4442,0.081776
4442,0.115600
4442,0.095159
4442,0.086669
4442,0.118700
4442,0.085105
4442,0.080316
4442,0.100151
4442,0.111578
4442,0.081107
4442,0.083890
4442,0.078445
4442,0.094556
4442,0.093703
4442,0.100126
4442,0.084954
4442,0.104054
4442,0.089785
4442,0.080896
4442,0.076187
4442,0.083900
4442,0.090817
4442,0.082768
4442,0.109888
4442,0.095046
74062,7.256759
74062,7.964975
74062,8.828740
74062,9.111419
74062,7.540542
74062,7.524320
74062,7.017285
74062,9.279259
74062,7.242242
74062,7.356100
74062,7.902722
74062,8.793457
74062,10.804584
74062,7.155226
74062,7.725254
74062,7.536574
74062,7.358229
74062,7.317054
74062,7.555057
74062,8.218540
74062,7.203097
74062,9.754152
74062,11.012875
74062,9.694892
74062,8.359089
74062,7.641987
74062,7.391979
74062,7.505636
74062,7.789854
74062,8.603749
6420,0.276589
6420,0.329448
6420,0.340915
6420,0.315492
6420,0.343435
6420,0.392363
6420,0.562893
6420,0.313232
6420,0.292333
6420,0.302185
6420,0.383911
6420,0.330569
6420,0.317777
6420,0.367816
6420,0.311776
6420,0.388804
6420,0.306052
6420,0.419998
6420,0.284266
6420,0.262091
6420,0.279238
6420,0.441362
6420,0.267855
6420,0.275959
6420,0.389184
6420,0.279035
6420,0.318169
6420,0.308214
6420,0.430654
6420,0.331550
37597,4.023259
37597,4.389277
37597,3.498775
37597,5.530328
37597,3.875244
37597,4.845059
37597,3.364539
37597,3.698541
37597,3.467040
37597,3.297773
37597,3.445800
37597,3.599961
37597,3.579451
37597,4.337230
37597,3.481318
37597,3.723594
37597,4.965013
37597,5.563681
37597,3.341524
37597,3.192752
37597,4.226149
37597,4.072023
37597,4.634051
37597,3.105637
37597,3.129812
37597,3.872252
37597,3.171969
37597,3.361868
37597,3.116747
37597,3.359639
3066,0.132707
3066,0.139158
3066,0.123312
3066,0.130002
3066,0.112493
3066,0.129470
3066,0.115178
3066,0.132084
3066,0.138911
3066,0.224659
3066,0.141955
3066,0.147499
3066,0.132140
3066,0.123629
3066,0.139301
3066,0.123885
3066,0.209923
3066,0.127184
3066,0.127988
3066,0.112149
3066,0.117444
3066,0.223732
3066,0.148666
3066,0.110914
3066,0.125840
3066,0.195236
3066,0.124504
3066,0.120107
3066,0.119109
3066,0.214335
35892,3.891363
35892,4.778894
35892,3.858172
35892,3.646706
35892,3.354177
35892,3.413903
35892,4.555224
35892,4.546182
35892,4.235445
35892,3.552274
35892,3.074976
35892,3.274436
35892,2.877133
35892,3.507547
35892,4.145592
35892,3.049783
35892,3.102444
35892,2.967977
35892,3.043489
35892,3.058575
35892,2.829430
35892,3.469510
35892,4.106893
35892,3.233489
35892,3.099046
35892,3.071264
35892,2.912568
35892,3.265202
35892,3.688869
35892,4.058366
2192,0.127848
2192,0.096063
2192,0.130497
2192,0.088778
2192,0.097610
2192,0.079405
2192,0.092976
2192,0.093917
2192,0.083770
2192,0.105599
2192,0.093414
2192,0.083635
2192,0.109345
2192,0.100079
2192,0.094339
2192,0.088676
2192,0.090428
2192,0.128105
2192,0.092162
2192,0.087432
2192,0.097342
2192,0.106668
2192,0.108623
2192,0.083992
2192,0.083922
2192,0.088498
2192,0.136190
2192,0.084544
2192,0.113683
2192,0.117219
32049,2.126375
32049,2.805713
32049,2.178945
32049,2.425877
32049,2.607587
32049,2.868094
32049,2.088953
32049,1.930901
32049,2.027745
32049,1.985102
32049,2.815236
32049,1.852686
32049,1.988423
32049,2.005987
32049,2.566822
32049,1.863981
32049,1.875531
32049,2.796048
32049,1.756981
32049,2.579156
32049,1.678934
32049,1.880755
32049,1.895840
32049,2.339429
32049,2.072267
32049,1.904925
32049,1.943255
32049,2.069072
32049,2.011274
32049,2.502050
7910,0.475927
7910,0.526656
7910,0.410790
7910,0.526578
7910,0.396377
7910,0.562323
7910,0.386911
7910,0.444305
7910,0.459672
7910,0.431552
7910,0.548158
7910,0.510088
7910,0.441365
7910,0.414509
7910,0.416889
7910,0.496077
7910,0.454014
7910,0.407880
7910,0.404088
7910,0.422579
7910,0.441125
7910,0.412516
7910,0.384702
7910,0.605658
7910,0.670186
7910,0.357339
7910,0.368437
7910,0.364190
7910,0.687831
7910,0.681163
29323,2.768440
29323,2.309386
29323,2.105559
29323,2.142179
29323,2.145957
29323,2.068334
29323,2.033081
29323,2.123628
29323,2.697814
29323,3.246512
29323,3.168620
29323,2.194815
29323,2.298408
29323,2.729004
29323,2.344950
29323,2.121783
29323,2.061749
29323,2.215913
29323,2.135680
29323,2.592198
29323,3.101193
29323,3.170685
29323,3.366951
29323,3.237846
29323,2.289363
29323,2.052456
29323,2.342483
29323,2.062235
29323,2.207896
29323,2.178942
7891,0.418805
7891,0.612454
7891,0.392256
7891,0.584998
7891,0.405518
7891,0.428876
7891,0.452650
7891,0.424045
7891,0.420642
7891,0.417090
7891,0.420003
7891,0.419556
7891,0.448378
7891,0.422912
7891,0.560031
7891,0.576974
7891,0.420289
7891,0.663603
7891,0.656289
7891,0.396159
7891,0.461365
7891,0.407584
7891,0.478973
7891,0.435565
7891,0.480803
7891,0.464828
7891,0.474919
7891,0.672920
7891,0.641262
7891,0.455683
29492,2.599938
29492,2.603465
29492,2.599975
29492,2.379459
29492,3.606335
29492,3.565406
29492,2.559358
29492,2.854978
29492,2.608981
29492,2.550748
29492,2.857201
29492,4.040232
29492,2.483774
29492,2.577085
29492,2.568415
29492,3.348462
29492,2.423329
29492,2.586565
29492,2.552034
29492,3.069617
29492,2.620491
29492,3.311479
29492,2.295445
29492,3.348094
29492,2.445673
29492,2.253014
29492,2.329258
29492,2.384221
29492,2.456975
29492,2.666685
11767,0.646281
11767,0.632319
11767,0.712938
11767,0.665706
11767,0.958120
11767,0.915404
11767,0.950135
11767,1.099035
11767,0.820435
11767,1.130559
11767,0.857203
11767,1.033587
11767,0.761526
11767,0.762017
11767,1.099656
11767,0.917595
11767,0.774398
11767,0.834102
11767,0.787942
11767,0.821757
11767,0.980861
11767,0.791610
11767,1.023207
11767,0.711145
11767,0.791611
11767,0.645734
11767,0.657775
11767,0.829992
11767,0.978121
11767,0.636613
31112,2.280059
31112,2.405997
31112,2.218703
31112,2.343226
31112,2.897517
31112,2.429634
31112,2.339389
31112,2.872065
31112,2.396825
31112,2.234458
31112,2.898329
31112,2.946495
31112,2.325088
31112,2.463068
31112,2.543250
31112,2.253270
31112,2.337249
31112,2.261934
31112,2.216095
31112,2.635421
31112,2.720278
31112,2.876053
31112,2.269509
31112,2.662352
31112,2.353302
31112,2.348510
31112,1.976415
31112,2.305551
31112,2.290151
31112,2.157303
6734,0.350711
6734,0.316004
6734,0.293214
6734,0.300816
6734,0.336136
6734,0.334039
6734,0.253301
6734,0.263103
6734,0.324974
6734,0.256285
6734,0.317814
6734,0.262555
6734,0.335415
6734,0.276952
6734,0.255557
6734,0.320916
6734,0.295157
6734,0.261219
6734,0.251864
6734,0.288596
6734,0.240064
6734,0.250982
6734,0.267218
6734,0.307117
6734,0.261952
6734,0.258725
6734,0.303068
6734,0.299955
6734,0.252781
6734,0.312939
30153,1.736284
30153,1.624854
30153,2.252315
30153,1.835071
30153,1.625493
30153,2.112047
30153,1.751248
30153,1.704816
30153,1.745304
30153,2.032442
30153,2.113424
30153,1.909835
30153,1.646732
30153,1.723053
30153,1.874447
30153,1.659464
30153,1.708159
30153,1.740665
30153,1.607179
30153,1.653024
30153,2.141578
30153,2.479760
30153,2.430775
30153,2.289395
30153,1.763613
30153,1.721845
30153,1.976721
30153,1.662861
30153,1.685494
30153,1.893564
7801,0.503369
7801,0.337190
7801,0.559237
7801,0.574244
7801,0.527718
7801,0.334988
7801,0.313056
7801,0.480732
7801,0.323042
7801,0.402840
7801,0.311022
7801,0.321310
7801,0.404838
7801,0.435331
7801,0.303154
7801,0.296035
7801,0.401898
7801,0.404176
7801,0.312212
7801,0.319031
7801,0.322126
7801,0.322588
7801,0.323052
7801,0.512754
7801,0.325515
7801,0.316864
7801,0.401751
7801,0.481687
7801,0.359473
7801,0.451996
34899,2.231335
34899,2.770411
34899,2.520414
34899,2.433764
34899,2.124226
34899,2.297694
34899,2.125787
34899,2.602501
34899,3.041956
34899,2.189706
34899,3.237579
34899,2.389764
34899,2.389300
34899,2.457873
34899,2.227663
34899,2.949668
34899,2.603917
34899,2.680869
34899,2.400488
34899,2.387752
34899,2.379910
34899,3.114976
34899,2.633845
34899,3.009469
34899,2.464058
34899,2.452607
34899,2.460368
34899,2.372222
34899,3.651984
34899,2.542251
16308,1.348276
16308,0.945105
16308,1.436379
16308,0.963894
16308,0.960244
16308,1.593729
16308,1.414920
16308,0.967107
16308,1.025818
16308,0.990327
16308,1.033642
16308,1.058055
16308,1.441121
16308,0.999396
16308,0.968668
16308,1.030846
16308,1.065331
16308,0.956446
16308,1.094130
16308,1.326251
16308,1.441505
16308,1.010850
16308,1.109810
16308,0.992606
16308,1.037756
16308,1.346098
16308,0.990435
16308,1.342243
16308,0.964917
16308,0.941941
38907,4.044523
38907,3.385721
38907,3.156313
38907,3.411777
38907,3.831748
38907,3.948573
38907,4.996431
38907,4.010383
38907,5.489611
38907,4.962334
38907,3.940087
38907,5.107113
38907,3.156770
38907,3.062530
38907,3.541853
38907,3.074164
38907,3.516616
38907,3.658005
38907,2.893384
