source,target,source_x_m,source_y_m,target_x_m,target_y_m,failed
n23,n9,1030.0779902978147,791.9320914276079,1033.4335664242567,442.94504901832755,1
n24,n25,1087.1239094893508,916.0909081961582,1696.1732893839167,843.9445839248708,1
n24,n26,1087.1239094893508,916.0909081961582,1544.7667144542238,634.216763363892,1
n24,n30,1087.1239094893508,916.0909081961582,1827.0433834104751,211.40554611958922,0
n24,n33,1087.1239094893508,916.0909081961582,1707.9181183413227,427.84464393857616,1
n25,n26,1696.1732893839167,843.9445839248708,1544.7667144542238,634.216763363892,1
n25,n33,1696.1732893839167,843.9445839248708,1707.9181183413227,427.84464393857616,1
n26,n27,1544.7667144542238,634.216763363892,1316.9855618202578,335.56442539274985,1
n26,n29,1544.7667144542238,634.216763363892,1761.6083363971961,307.04146579698187,0
n26,n33,1544.7667144542238,634.216763363892,1707.9181183413227,427.84464393857616,1
n27,n28,1316.9855618202578,335.56442539274985,1298.52945560894,285.22972095461165,1
n27,n33,1316.9855618202578,335.56442539274985,1707.9181183413227,427.84464393857616,0
n27,n5,1316.9855618202578,335.56442539274985,1103.9021651369335,208.04990748853692,1
n27,n9,1316.9855618202578,335.56442539274985,1033.4335664242567,442.94504901832755,0
n28,n29,1298.52945560894,285.22972095461165,1761.6083363971961,307.04146579698187,0
n28,n30,1298.52945560894,285.22972095461165,1827.0433834104751,211.40554611958922,0
n28,n31,1298.52945560894,285.22972095461165,1801.8761249503698,166.10439338084885,0
n28,n9,1298.52945560894,285.22972095461165,1033.4335664242567,442.94504901832755,1
n29,n31,1761.6083363971961,307.04146579698187,1801.8761249503698,166.10439338084885,0
n29,n33,1761.6083363971961,307.04146579698187,1707.9181183413227,427.84464393857616,1
n29,n34,1761.6083363971961,307.04146579698187,2000.0,206.61713411446783,0
n30,n31,1827.0433834104751,211.40554611958922,1801.8761249503698,166.10439338084885,0
n30,n32,1827.0433834104751,211.40554611958922,1900.8675582495941,114.09190088358604,0
n30,n33,1827.0433834104751,211.40554611958922,1707.9181183413227,427.84464393857616,0
n30,n34,1827.0433834104751,211.40554611958922,2000.0,206.61713411446783,0
n30,n9,1827.0433834104751,211.40554611958922,1033.4335664242567,442.94504901832755,0
n31,n32,1801.8761249503698,166.10439338084885,1900.8675582495941,114.09190088358604,0
n31,n33,1801.8761249503698,166.10439338084885,1707.9181183413227,427.84464393857616,0
n33,n9,1707.9181183413227,427.84464393857616,1033.4335664242567,442.94504901832755,0
n4,n5,956.2538154627922,127.51445539550622,1103.9021651369335,208.04990748853692,0
n4,n6,956.2538154627922,127.51445539550622,978.0654978005521,275.16280506964745,0
n5,n9,1103.9021651369335,208.04990748853692,1033.4335664242567,442.94504901832755,0
n6,n7,978.0654978005521,275.16280506964745,1004.9106068284888,369.1208741792088,1
n7,n8,1004.9106068284888,369.1208741792088,1080.4126322313425,364.08744748903194,0
n7,n9,1004.9106068284888,369.1208741792088,1033.4335664242567,442.94504901832755,0
n8,n9,1080.4126322313425,364.08744748903194,1033.4335664242567,442.94504901832755,0
