set_id,method,scenario_count,timely_ratio_mean,timely_ratio_ci_low,timely_ratio_ci_high,conn_ratio_mean,bound_ratio_mean,gap_mean,gap_undefined_count,shortfall_mean,planning_runtime_s_mean,evaluation_runtime_s_per_realization_mean,bound_runtime_s_mean,union_bound_ratio_mean,union_gap_mean,evaluate_calls_mean
sens-btot05,B2,10,0.49924999999999997,0.40733333333333344,0.57275,1.0,nan,nan,10,17.047431200967896,124.12261924149352,0.04220675438991748,nan,0.5970474236196678,0.17657681392359903,1736.1
sens-btot05,P,10,0.49108333333333337,0.40099375000000004,0.5651708333333332,1.0,nan,nan,10,17.40019562655785,135.71077451389573,0.04157822530997994,nan,0.5970474236196678,0.19036881165523356,1877.4
sens-btot2,B1,10,0.4609166666666667,0.3719166666666667,0.5386666666666666,1.0,0.6025520506759021,0.2524139028691458,0,20.970234934753655,0.12741560820140876,0.025325908876548054,1.9141169363179749,0.6025520506759021,0.2524139028691458,1.0
sens-btot2,B2,10,0.5053333333333333,0.4176645833333334,0.5778354166666666,1.0,nan,nan,10,16.762952448481006,142.7021999025048,0.04230469119667153,nan,0.6025520506759021,0.16994913207726886,1978.2
sens-btot2,P,10,0.5046666666666667,0.41725,0.57691875,1.0,nan,nan,10,16.75744772924605,140.68165759070544,0.04266972685669316,nan,0.6025520506759021,0.1709871979742763,2001.0
sens-deadline-long,B1,10,0.48516666666666663,0.39591458333333346,0.5592520833333333,1.0,0.7183537386890008,0.33599967080979726,0,18.304398753101157,0.18295913209731224,0.03644060600665398,6.880638476489208,0.7183537386890008,0.33599967080979726,1.0
sens-deadline-long,B2,10,0.596,0.4996645833333333,0.6700020833333332,1.0,nan,nan,10,14.162823877321111,150.84292223970115,0.04431808113683171,nan,0.7183537386890008,0.18179532582424413,1723.4
sens-deadline-long,P,10,0.5921666666666667,0.4974145833333332,0.6655854166666667,1.0,nan,nan,10,14.375544685499378,144.56925734359828,0.04507436237656899,nan,0.7183537386890008,0.18745232169324041,1748.0
sens-deadline-short,B1,10,0.36675,0.29141666666666666,0.42825208333333337,1.0,0.51241576303426,0.3045963679336388,0,24.86484165221063,0.10939965170400683,0.020708208959937715,0.8369796447159994,0.51241576303426,0.3045963679336388,1.0
sens-deadline-short,B2,10,0.38933333333333336,0.30924999999999997,0.4548333333333333,0.9997777777777778,nan,nan,10,20.991455772244755,116.40573324369907,0.039580978579955024,nan,0.51241576303426,0.26016795492982697,1860.6
sens-deadline-short,P,10,0.38841666666666663,0.3080833333333333,0.4540020833333333,0.9997777777777778,nan,nan,10,21.056946437481738,122.08483817739761,0.03940244315987608,nan,0.51241576303426,0.26239374341814614,1986.4
sens-k2,B1,10,0.45066666666666666,0.3578291666666667,0.5301666666666666,1.0,0.5721936984410294,0.232907373150899,0,21.34530678253095,0.0854837354971096,0.024683227426624703,1.282274565823027,0.5721936984410294,0.232907373150899,1.0
sens-k2,B2,10,0.4975833333333333,0.40974583333333336,0.5698374999999999,0.9997777777777778,nan,nan,10,17.48683610523333,117.89341296149651,0.042351182860050664,nan,0.5721936984410294,0.1375270433443892,1660.1
sens-k2,P,10,0.50275,0.41508125,0.5733333333333333,0.9997777777777778,nan,nan,10,17.382328345448208,125.59984578809235,0.04058238533994881,nan,0.5721936984410294,0.12648656460171537,1812.5
sens-k5,B1,10,0.4581666666666667,0.366,0.5350020833333332,1.0,0.6241935017674797,0.2862238822443719,0,20.968968840466726,0.22393210369627922,0.024871584886762624,3.913807577008071,0.6241935017674797,0.2862238822443719,1.0
sens-k5,B2,10,0.5144166666666667,0.42366458333333346,0.5911708333333333,0.9995555555555555,nan,nan,10,16.355159139586245,141.4507702042989,0.03569437984008497,nan,0.6241935017674797,0.18665630671481168,1989.1
sens-k5,P,10,0.5037499999999999,0.41308333333333336,0.5779187499999999,1.0,nan,nan,10,16.6982835315796,139.40506118219636,0.03655230049315529,nan,0.6241935017674797,0.20787527918615303,1983.1
sens-lref125k,B1,10,0.5356666666666666,0.44024583333333334,0.6174166666666666,1.0,0.6771328481720713,0.22548223918769264,0,17.764242618206104,0.14252974830160384,0.02828475346332804,1.9880956781566297,0.6771328481720713,0.22548223918769264,1.0
sens-lref125k,B2,10,0.5725833333333333,0.48325000000000007,0.6445000000000001,1.0,nan,nan,10,14.44079868101316,133.55549130569852,0.04173497267998755,nan,0.6771328481720713,0.1634963703565236,1967.0
sens-lref125k,P,10,0.5738333333333333,0.4885833333333333,0.6441687500000001,1.0,nan,nan,10,14.41285534124296,136.75508166729415,0.04090639781342664,nan,0.6771328481720713,0.15977260627850037,1991.0
sens-lref1m,B1,10,0.2743333333333333,0.20133125,0.3390020833333333,1.0,0.4364364655309158,0.39924813695234923,0,28.381470333212643,0.13447105310915503,0.02106975165680827,3.012741665750024,0.4364364655309158,0.39924813695234923,1.0
